RAGATABLE,Aroha,Avroh
Abheri Todi,S-R-G-m-P-d-n-S,S-n-d-P-m-Gg-Rr-S
Abhogi,S-R-g-m-D-S,S-D-m-g-R-S
Adana,S-R-m-P-d-n-S,S-n-d-P-m-g-R-S
Adbhut Kalyan,S-R-G-D-N-S,S-N-D-G-R-S
Adi Basant,S-G-m-D-N-S,S-N-D-Mm-G-R-r-S
Ahir Bhairav,S-r-G-m-P-D-n-S,S-n-D-P-m-G-r-S
Ahir Lalit,S-r-G-mM-D-n-S,S-n-D-Mm-G-r-S
Ahiri,S-r-g-m-P-D-n-S,S-n-D-P-m-g-r-S
Ahiri Todi,S-R-g-m-P-nN-S,S-Nn-D-P-m-g-Rr-S
Alhaiya Bilawal,S-R-G-P-D-N-S,S-n-D-P-m-G-R-S
Amirkhani Kauns,S-G-M-P-n-S,S-n-P-M-G-S
Anjani Kalyan,S-R-g-M-P-D-N-S,S-N-D-P-M-g-R-S
Annapurna,S-r-g-M-P-d-N-S,S-N-d-P-M-g-r-S
Antardhwani,S-r-g-m-d-N-S,S-N-d-m-g-r-S
Arun Malhar,S-R-G-m-P-D-nN-S,S-Nn-D-P-m-G-R-S
Asa Bhairav,S-R-m-P-D-N-S,S-N-D-P-m-G-r-S
Asavari,S-R-m-P-d-S,S-n-d-P-m-g-Rr-S
Bageshri,S-R-g-m-D-n-S,S-n-D-P-m-g-R-S
Bahar,S-R-g-m-P-D-N-S,S-n-P-m-g-R-S
Bairagi,S-r-m-P-n-S,S-n-P-m-r-S
Bairagi Todi,S-r-g-P-n-S,S-n-P-g-r-S
Bangal Bhairav,S-r-G-m-P-d-S,S-d-P-m-G-r-S
Basant,S-G-M-d-N-S,S-N-d-P-M-G-r-S
Basant Mukhari,S-r-G-m-P-d-n-S,S-n-d-P-m-G-r-S
Bhairav,S-r-G-m-P-d-N-S,S-N-d-P-m-G-r-S
Bhairav Bahar,S-r-G-m-P-D-nN-S,S-n-D-P-m-G-r-S
Bhairavi,S-r-g-m-P-d-n-S,S-n-d-P-m-g-r-S
Bhatiyar,S-G-M-P-D-S,S-N-D-P-M-G-r-S
Bhavani,S-R-m-D-S,S-D-m-R-S
Bheem,S-G-m-P-n-S,S-n-D-P-m-G-R-S
Bhimpalasi,S-g-m-P-n-S,S-n-D-P-m-g-R-S
Bhinna Shadja,S-G-m-D-N-S,S-N-D-m-G-S
Bhupali,S-R-G-P-D-S,S-D-P-G-R-S
Bhupali Todi,S-r-g-P-d-S,S-d-P-g-r-S
Bibhas,S-r-G-P-d-S,S-d-P-G-r-S
Bihad Bhairav,S-r-m-P-d-n-S,S-Nn-d-P-m-Gg-r-S
Bihag,S-G-m-P-N-S,S-N-D-P-Mm-G-R-S
Bilaskhani Todi,S-r-g-P-d-S,S-n-d-P-m-g-r-S
Champak,S-R-G-m-P-D-N-S,S-n-D-P-m-G-R-S
Chandni Bihag,S-G-m-P-D-n-S,S-Nn-D-P-Mm-G-S
Chandni Kedar,S-G-M-P-D-N-S,S-n-D-P-Mm-G-R-S
Chandrakauns,S-g-m-d-N-S,S-N-d-m-g-S
Chandrakaushiki,S-R-g-m-d-N-S,S-Nn-d-m-g-R-S
Chandramadhu,S-g-M-P-n-S,S-n-P-M-g-S
Chandranandan,S-g-m-d-n-S,S-Nn-d-P-m-g-R-S
Charukeshi,S-R-G-m-P-d-n-S,S-n-d-P-m-G-R-S
Chayanat,S-R-G-m-P-D-N-S,S-N-D-P-Mm-G-R-S
Dagori,S-R-G-m-P-D-N-S,S-N-D-P-m-G-R-S
Darbari,S-R-g-m-P-d-n-S,S-n-d-P-m-g-R-S
Darjeeling,S-r-g-m-P-D-n-S,S-n-d-P-m-g-r-S
Deen Todi,S-r-g-m-D-n-S,S-n-D-m-g-r-S
Des Malhar,S-R-G-m-P-N-S,S-Nn-D-P-m-G-R-S
Desh,S-R-m-P-D-n-S,S-Nn-D-P-m-G-R-S
Deshkar,S-R-G-P-D-S,S-D-P-G-R-S
Desi,S-R-m-P-D-n-S,S-n-D-P-m-g-R-S
Dev Gandhar,S-R-gG-m-P-d-n-S,S-n-d-P-m-Gg-R-S
Devata Bhairav,S-r-G-m-P-d-N-S,S-N-d-P-m-g-r-S
Devgandhari Todi,S-R-G-m-P-d-n-S,S-n-D-P-m-g-Rr-S
Devgiri Bilawal,S-R-G-P-D-N-S,S-Nn-D-P-m-G-R-S
Devranjani,S-m-P-d-N-S,S-N-d-P-m-S
